"Dataset","Cluster","Community"
"Cheung2018M","1","6"
"Cheung2018M","2",NA
"Cheung2018M","3","1"
"Cheung2018M","0","4"
"Cheung2018M","4","2"
"Fletcher2019M","0",NA
"Fletcher2019M","3","4"
"Fletcher2019M","1","1"
"Fletcher2019M","2","5"
"Lopez2021M","0","4"
"Lopez2021M","1",NA
"Lopez2021M","3",NA
"Lopez2021M","2","6"
"Mayran2019M","4","4"
"Mayran2019M","0","5"
"Mayran2019M","1","3"
"Mayran2019M","2",NA
"Mayran2019M","3","4"
"Ruf_Zamojski2021M","2",NA
"Ruf_Zamojski2021M","6",NA
"Ruf_Zamojski2021M","8","4"
"Ruf_Zamojski2021M","1",NA
"Ruf_Zamojski2021M","4",NA
"Ruf_Zamojski2021M","3","1"
"Ruf_Zamojski2021M","0","1"
"Ruf_Zamojski2021M","7","3"
"Ruf_Zamojski2021M","5",NA
"Vennekens2021M","3","4"
"Vennekens2021M","0","1"
"Vennekens2021M","1",NA
"Vennekens2021M","2","2"
